"Post ID",Title,URLs,Categories
,bimonthly,https://contentdesign.intuit.com/resources/word-list/b/bimonthly/,
,"birth date",https://contentdesign.intuit.com/resources/word-list/b/birth-date/,
,biweekly,https://contentdesign.intuit.com/resources/word-list/b/biweekly/,
,"black box",https://contentdesign.intuit.com/resources/word-list/b/black-box/,
,"black hat (hacking)",https://contentdesign.intuit.com/resources/word-list/b/black-hat/,
,"Black, Indigenous, and people of color (BIPOC)",https://contentdesign.intuit.com/resources/word-list/b/black-indigenous-and-people-of-color-bipoc/,
,"blacklist (n., v.)",https://contentdesign.intuit.com/resources/word-list/b/blacklist/,
,"Blog posts",https://contentdesign.intuit.com/content-patterns/blog-posts/,
,Bold,https://contentdesign.intuit.com/style/formatting/bold/,
,"Bold numbers",https://contentdesign.intuit.com/style/numbers/bold-numbers/,
,boom,https://contentdesign.intuit.com/resources/word-list/b/boom/,
,"bottom left, bottom right",https://contentdesign.intuit.com/resources/word-list/b/bottom-left-bottom-right/,
,"box 14",https://contentdesign.intuit.com/resources/word-list/b/box-14/,
,Brackets,https://contentdesign.intuit.com/style/punctuation/brackets/,
,"breach, breached",https://contentdesign.intuit.com/resources/word-list/b/breach-breached/,
,bug,https://contentdesign.intuit.com/resources/word-list/b/bug/,
,"business name",https://contentdesign.intuit.com/resources/word-list/b/business-name/,
,busywork,https://contentdesign.intuit.com/resources/word-list/b/busywork/,
,button,https://contentdesign.intuit.com/resources/word-list/b/button/,
,C,https://contentdesign.intuit.com/resources/word-list/c/,
,CAD,https://contentdesign.intuit.com/resources/word-list/c/cad/,
,"call ended",https://contentdesign.intuit.com/resources/word-list/c/call-ended/,
,"Call-in notification",https://contentdesign.intuit.com/resources/word-list/c/call-in-notification/,
,can,https://contentdesign.intuit.com/resources/word-list/c/can/,
,can’t,https://contentdesign.intuit.com/resources/word-list/c/cant/,
,"canceled, canceling, cancellation",https://contentdesign.intuit.com/resources/word-list/c/canceled-canceling-cancellation/,
,Capitalization,https://contentdesign.intuit.com/style/formatting/capitalization/,
,capture,https://contentdesign.intuit.com/resources/word-list/c/capture/,
,"case-sensitive, case sensitive",https://contentdesign.intuit.com/resources/word-list/c/case-sensitive-case-sensitive/,
,"cash flow",https://contentdesign.intuit.com/resources/word-list/c/cash-flow/,
,"cell phone",https://contentdesign.intuit.com/resources/word-list/c/cell-phone/,
,"certification, certified",https://contentdesign.intuit.com/resources/word-list/c/certification-certified/,
,cha-ching,https://contentdesign.intuit.com/resources/word-list/c/cha-ching/,
,Channels,https://contentdesign.intuit.com/channels/,
,chargeback,https://contentdesign.intuit.com/resources/word-list/c/chargeback/,
,"chart of accounts",https://contentdesign.intuit.com/resources/word-list/c/chart-of-accounts/,
,"Chat now",https://contentdesign.intuit.com/resources/word-list/c/chat-now/,
,check,https://contentdesign.intuit.com/resources/word-list/c/check/,
,checkbook,https://contentdesign.intuit.com/resources/word-list/c/checkbook/,
,checkbox,https://contentdesign.intuit.com/resources/word-list/c/checkbox/,
,checklist,https://contentdesign.intuit.com/resources/word-list/c/checklist/,
,checkmark,https://contentdesign.intuit.com/resources/word-list/c/checkmark/,
,"Child and Dependent Care Credit",https://contentdesign.intuit.com/resources/word-list/c/child-and-dependent-care-credit/,
,"child care (n.), child-care (adj.)",https://contentdesign.intuit.com/resources/word-list/c/child-care-n-child-care-adj/,
,"Child Tax Credit",https://contentdesign.intuit.com/resources/word-list/c/child-tax-credit/,
,choose,https://contentdesign.intuit.com/resources/word-list/c/choose/,
,click,https://contentdesign.intuit.com/resources/word-list/c/click/,
,close,https://contentdesign.intuit.com/resources/word-list/c/close/,
,"cloud, cloud-based, cloud-based computing, cloud computing",https://contentdesign.intuit.com/resources/word-list/c/cloud-cloud-based-cloud-based-computing-cloud-computing/,
,collapse,https://contentdesign.intuit.com/resources/word-list/c/collapse/,
,Colons,https://contentdesign.intuit.com/style/punctuation/colons/,
,Commas,https://contentdesign.intuit.com/style/punctuation/commas/,
,"Communications framework",https://contentdesign.intuit.com/channels/communications-framework/,
,Community,https://contentdesign.intuit.com/community/,
,company,https://contentdesign.intuit.com/resources/word-list/c/company/,
,"company file",https://contentdesign.intuit.com/resources/word-list/c/company-file/,
,"company name",https://contentdesign.intuit.com/resources/word-list/c/company-name/,
,compromised,https://contentdesign.intuit.com/resources/word-list/c/compromised/,
,computer,https://contentdesign.intuit.com/resources/word-list/c/computer/,
,"confirm (preferred over verify)",https://contentdesign.intuit.com/resources/word-list/c/confirm-preferred-over-verify/,
,congratulations,https://contentdesign.intuit.com/resources/word-list/c/congratulations/,
,"connect with",https://contentdesign.intuit.com/resources/word-list/c/connect-with/,
,"Connect with QuickBooks",https://contentdesign.intuit.com/resources/word-list/c/connect-with-quickbooks/,
,"connect, connection",https://contentdesign.intuit.com/resources/word-list/c/connect-connection/,
,"Content checklist",https://contentdesign.intuit.com/resources/content-checklist/,
,"Content design and strategy tools",https://contentdesign.intuit.com/resources/content-design-tools/,
,"Content design at Intuit",https://contentdesign.intuit.com/,
,"Content patterns",https://contentdesign.intuit.com/content-patterns/,
,"Content promotion",https://contentdesign.intuit.com/channels/content-promotion/,
,"Content resources",https://contentdesign.intuit.com/content-resources/,
,"Content strategy 101",https://contentdesign.intuit.com/resources/content-strategy-101/,
,contractor,https://contentdesign.intuit.com/resources/word-list/c/contractor/,
,"Conversation design",https://contentdesign.intuit.com/channels/conversation-design/,
,"copay, copayment",https://contentdesign.intuit.com/resources/word-list/c/copay-copayment/,
,copy,https://contentdesign.intuit.com/resources/word-list/c/copy/,
,"corrupt, corrupted",https://contentdesign.intuit.com/resources/word-list/c/corrupt-corrupted/,
,"cost of goods sold (COGS)",https://contentdesign.intuit.com/resources/word-list/c/cost-of-goods-sold-cogs/,
,CRA,https://contentdesign.intuit.com/resources/word-list/c/cra/,
,crash,https://contentdesign.intuit.com/resources/word-list/c/crash/,
,"create an account",https://contentdesign.intuit.com/resources/word-list/c/create-an-account/,
,crime,https://contentdesign.intuit.com/resources/word-list/c/crime/,
,Currency,https://contentdesign.intuit.com/style/numbers/currency/,
,cursor,https://contentdesign.intuit.com/resources/word-list/c/cursor/,
,customer,https://contentdesign.intuit.com/resources/word-list/c/customer/,
,"Customer pays me with",https://contentdesign.intuit.com/resources/word-list/c/customer-pays-me-with/,
,"Customer Support, TurboTax Help Team, help team, our experts",https://contentdesign.intuit.com/resources/word-list/c/customer-support-turbotax-help-team-help-team-our-experts/,
,customer-facing,https://contentdesign.intuit.com/resources/word-list/c/customer-facing/,
,customize,https://contentdesign.intuit.com/resources/word-list/c/customize/,
,D,https://contentdesign.intuit.com/resources/word-list/d/,
,"dark mode",https://contentdesign.intuit.com/resources/word-list/d/dark-mode/,
,"dark UX",https://contentdesign.intuit.com/resources/word-list/d/dark-ux/,
,dashboard,https://contentdesign.intuit.com/resources/word-list/d/dashboard/,
,"Dashes and hyphens",https://contentdesign.intuit.com/style/punctuation/dashes-and-hyphens/,
,data,https://contentdesign.intuit.com/resources/word-list/d/data/,
,"data file",https://contentdesign.intuit.com/resources/word-list/d/data-file/,
,Dates,https://contentdesign.intuit.com/style/numbers/dates/,
,"day care, day-care facility, family day care",https://contentdesign.intuit.com/resources/word-list/d/day-care-day-care-facility-family-day-care/,
,"DBA; Doing business as",https://contentdesign.intuit.com/resources/word-list/d/dba-doing-business-as/,
,deactivate,https://contentdesign.intuit.com/resources/word-list/d/deactivate/,
,dear,https://contentdesign.intuit.com/resources/word-list/d/dear/,
,Decimals,https://contentdesign.intuit.com/style/numbers/decimals/,
,default,https://contentdesign.intuit.com/resources/word-list/d/default/,
,Demandforce,https://contentdesign.intuit.com/resources/word-list/d/demandforce/,
,"Department of Revenue",https://contentdesign.intuit.com/resources/word-list/d/department-of-revenue/,
,deselect,https://contentdesign.intuit.com/resources/word-list/d/deselect/,
,device,https://contentdesign.intuit.com/resources/word-list/d/device/,
,dialog,https://contentdesign.intuit.com/resources/word-list/d/dialog/,
,"dialog box",https://contentdesign.intuit.com/resources/word-list/d/dialog-box/,
,dimmed,https://contentdesign.intuit.com/resources/word-list/d/dimmed/,
,"direct debit",https://contentdesign.intuit.com/resources/word-list/d/direct-debit/,
,directory,https://contentdesign.intuit.com/resources/word-list/d/directory/,
,"disable, disabled",https://contentdesign.intuit.com/resources/word-list/d/disable-disabled/,
,"disc, disk",https://contentdesign.intuit.com/resources/word-list/d/disc-disk/,
,disconnect,https://contentdesign.intuit.com/resources/word-list/d/disconnect/,
,dismiss,https://contentdesign.intuit.com/resources/word-list/d/dismiss/,
,"display (n)",https://contentdesign.intuit.com/resources/word-list/d/display-n/,
,"display (v)",https://contentdesign.intuit.com/resources/word-list/d/display-v/,
,"display name",https://contentdesign.intuit.com/resources/word-list/d/display-name/,
,"doc, docs",https://contentdesign.intuit.com/resources/word-list/d/doc-docs/,
,double-check,https://contentdesign.intuit.com/resources/word-list/d/double-check/,
,double-click,https://contentdesign.intuit.com/resources/word-list/d/double-click/,
,double-tap,https://contentdesign.intuit.com/resources/word-list/d/double-tap/,
,downgrade,https://contentdesign.intuit.com/resources/word-list/d/downgrade/,
,download,https://contentdesign.intuit.com/resources/word-list/d/download/,
,drag,https://contentdesign.intuit.com/resources/word-list/d/drag/,
,drawer,https://contentdesign.intuit.com/resources/word-list/d/drawer/,
,"drop off (v), drop-off (n, adj)",https://contentdesign.intuit.com/resources/word-list/d/drop-off-v-drop-off-n-adj/,
,drop-dead,https://contentdesign.intuit.com/resources/word-list/d/drop-dead/,
,dropdown,https://contentdesign.intuit.com/resources/word-list/d/dropdown/,
,E,https://contentdesign.intuit.com/resources/word-list/e/,
,e-commerce,https://contentdesign.intuit.com/resources/word-list/e/e-commerce/,
,"E-File &#038; Pay",https://contentdesign.intuit.com/resources/word-list/e/e-file-pay/,
,"e-file, e-pay, e-signature, e-payments, e-service",https://contentdesign.intuit.com/resources/word-list/e/e-file-e-pay-e-signature-e-payments-e-service/,
,e-lodge,https://contentdesign.intuit.com/resources/word-list/e/e-lodge/,
,e.g.,https://contentdesign.intuit.com/resources/word-list/e/e-g/,
,earlier,https://contentdesign.intuit.com/resources/word-list/e/earlier/,
,"Earned Income Credit",https://contentdesign.intuit.com/resources/word-list/e/earned-income-credit/,
,"Easy Extension, TurboTax Easy Extension",https://contentdesign.intuit.com/resources/word-list/e/easy-extension-turbotax-easy-extension/,
,"easy, easily",https://contentdesign.intuit.com/resources/word-list/e/easy-easily/,
,"EasyStep Interview",https://contentdesign.intuit.com/resources/word-list/e/easystep-interview/,
,ebook,https://contentdesign.intuit.com/resources/word-list/e/ebook/,
,eCheck,https://contentdesign.intuit.com/resources/word-list/e/echeck/,
,edition,https://contentdesign.intuit.com/resources/word-list/e/edition/,
,EIC,https://contentdesign.intuit.com/resources/word-list/e/eic/,
,EIN,https://contentdesign.intuit.com/resources/word-list/e/ein/,
,"electronic check, eCheck",https://contentdesign.intuit.com/resources/word-list/e/electronic-check-echeck/,
,"Elements of help articles",https://contentdesign.intuit.com/content-patterns/help-articles/elements-of-help-articles/,
,Ellipses,https://contentdesign.intuit.com/style/punctuation/ellipses/,
,email,https://contentdesign.intuit.com/resources/word-list/e/email/,
,"email address",https://contentdesign.intuit.com/resources/word-list/e/email-address/,
,Emails,https://contentdesign.intuit.com/content-patterns/emails/,
,"Employer Identification Number (EIN), Employer ID Number (EIN)",https://contentdesign.intuit.com/resources/word-list/e/employer-identification-number-ein-employer-id-number-ein/,
,"employer-provided benefits",https://contentdesign.intuit.com/resources/word-list/e/employer-provided-benefits/,
,enable,https://contentdesign.intuit.com/resources/word-list/e/enable/,
,"End sentences with prepositions",https://contentdesign.intuit.com/style/principles/end-sentences-with-prepositions/,
,"end-to-end, end to end",https://contentdesign.intuit.com/resources/word-list/e/end-to-end-end-to-end/,
,"ensure, insure",https://contentdesign.intuit.com/resources/word-list/e/ensure-insure/,
,Enter,https://contentdesign.intuit.com/resources/word-list/e/enter/,
,"enter zero, enter 0",https://contentdesign.intuit.com/resources/word-list/e/enter-zero-enter-0/,
,Errors,https://contentdesign.intuit.com/content-patterns/errors/,
,etc.,https://contentdesign.intuit.com/resources/word-list/e/etc/,
,Ethernet,https://contentdesign.intuit.com/resources/word-list/e/ethernet/,
,ex.,https://contentdesign.intuit.com/resources/word-list/e/ex/,
,"Exclamation points",https://contentdesign.intuit.com/style/punctuation/exclamation-points/,
,exit,https://contentdesign.intuit.com/resources/word-list/e/exit/,
,"expert, domain expert",https://contentdesign.intuit.com/resources/word-list/e/expert-domain-expert/,
,ExplainWhy,https://contentdesign.intuit.com/resources/word-list/e/explainwhy/,
,export,https://contentdesign.intuit.com/resources/word-list/e/export/,
,"extensions, filenames",https://contentdesign.intuit.com/resources/word-list/e/extensions-filenames/,
,"external hard drive",https://contentdesign.intuit.com/resources/word-list/e/external-hard-drive/,
,F,https://contentdesign.intuit.com/resources/word-list/f/,
,"fair market value (FMV)",https://contentdesign.intuit.com/resources/word-list/f/fair-market-value-fmv/,
,FAQ,https://contentdesign.intuit.com/resources/word-list/f/faq/,
,feature,https://contentdesign.intuit.com/resources/word-list/f/feature/,
,"Federal Information Worksheet",https://contentdesign.intuit.com/resources/word-list/f/federal-information-worksheet/,
,"federal, your federal return",https://contentdesign.intuit.com/resources/word-list/f/federal-your-federal-return/,
,FEIN,https://contentdesign.intuit.com/resources/word-list/f/fein/,
,"fetch, fetching",https://contentdesign.intuit.com/resources/word-list/f/fetch-fetching/,
,fieldworker,https://contentdesign.intuit.com/resources/word-list/f/fieldworker/,
,"filenames, filename, extensions",https://contentdesign.intuit.com/resources/word-list/f/filenames-filename-extensions/,
,flash,https://contentdesign.intuit.com/resources/word-list/f/flash/,
,"flex-spending amount",https://contentdesign.intuit.com/resources/word-list/f/flex-spending-amount/,
,flick,https://contentdesign.intuit.com/resources/word-list/f/flick/,
,"FlipBook 3d Example",https://contentdesign.intuit.com/flipbook-3d-example/,
,"flow-through entity",https://contentdesign.intuit.com/resources/word-list/f/flow-through-entity/,
,folder,https://contentdesign.intuit.com/resources/word-list/f/folder/,
,footer,https://contentdesign.intuit.com/resources/word-list/f/footer/,
,Footnotes,https://contentdesign.intuit.com/style/numbers/footnotes/,
,"for example",https://contentdesign.intuit.com/resources/word-list/f/for-example/,
,"Form 1096, 1096",https://contentdesign.intuit.com/resources/word-list/f/form-1096-1096/,
,"Form 1099-K, 1099-K",https://contentdesign.intuit.com/resources/word-list/f/form-1099-k-1099-k/,
,"Form 1099-R, Form 8839 (common forms, like a W- 2, usually don’t need to have “Form” before them)",https://contentdesign.intuit.com/resources/word-list/f/form-1099-r-form-8839-common-forms-like-a-w-2-usually-dont-need-to-have-form-before-them/,
,Formatting,https://contentdesign.intuit.com/style/formatting/,
,"Formatting and style",https://contentdesign.intuit.com/content-patterns/help-articles/formatting-and-style/,
,"Franchise Tax Board",https://contentdesign.intuit.com/resources/word-list/f/franchise-tax-board/,
,fraud,https://contentdesign.intuit.com/resources/word-list/f/fraud/,
,free,https://contentdesign.intuit.com/resources/word-list/f/free/,
,"free trial",https://contentdesign.intuit.com/resources/word-list/f/free-trial/,
,functionality,https://contentdesign.intuit.com/resources/word-list/f/functionality/,
,"fund-raiser, fund-raising",https://contentdesign.intuit.com/resources/word-list/f/fund-raiser-fund-raising/,
,Funds,https://contentdesign.intuit.com/resources/word-list/f/funds/,
,G,https://contentdesign.intuit.com/resources/word-list/g/,
,"go to",https://contentdesign.intuit.com/resources/word-list/g/go-to/,
,"Goals for help articles",https://contentdesign.intuit.com/content-patterns/help-articles/goals-for-help-articles/,
,"Google Calendar",https://contentdesign.intuit.com/resources/word-list/g/google-calendar/,
,"Google Chrome, Chrome",https://contentdesign.intuit.com/resources/word-list/g/google-chrome-chrome/,
,"Google Maps",https://contentdesign.intuit.com/resources/word-list/g/google-maps/,
,"Google Play",https://contentdesign.intuit.com/resources/word-list/g/google-play/,
,grandfathered,https://contentdesign.intuit.com/resources/word-list/g/grandfathered/,
,"grayed out",https://contentdesign.intuit.com/resources/word-list/g/grayed-out/,
,guarantee,https://contentdesign.intuit.com/resources/word-list/g/guarantee/,
,"Guided tours",https://contentdesign.intuit.com/content-patterns/guided-tours/,
,H,https://contentdesign.intuit.com/resources/word-list/h/,
,hacked,https://contentdesign.intuit.com/resources/word-list/h/hacked/,
,"hang tight",https://contentdesign.intuit.com/resources/word-list/h/hang-tight/,
,"hard copy",https://contentdesign.intuit.com/resources/word-list/h/hard-copy/,
,"hard drive",https://contentdesign.intuit.com/resources/word-list/h/hard-drive/,
,"hashtag; #",https://contentdesign.intuit.com/resources/word-list/h/hashtag/,
,Hashtags,https://contentdesign.intuit.com/style/punctuation/hashtags/,
,"Head of Household",https://contentdesign.intuit.com/resources/word-list/h/head-of-household/,
,"head start",https://contentdesign.intuit.com/resources/word-list/h/head-start/,
,"health care",https://contentdesign.intuit.com/resources/word-list/h/health-care/,
,"health savings account (HSA)",https://contentdesign.intuit.com/resources/word-list/h/health-savings-account-hsa/,
,hella,https://contentdesign.intuit.com/resources/word-list/h/hella/,
,HELP,https://contentdesign.intuit.com/resources/word-list/h/help/,
,"Help articles",https://contentdesign.intuit.com/content-patterns/help-articles/,
,"Help content",https://contentdesign.intuit.com/content-patterns/help-content/,
,"Help; help",https://contentdesign.intuit.com/resources/word-list/h/help-help/,
,"hide, show",https://contentdesign.intuit.com/resources/word-list/h/hide-show/,
,"high demand",https://contentdesign.intuit.com/resources/word-list/h/high-demand/,
,"high income (n.), high-income (adj.)",https://contentdesign.intuit.com/resources/word-list/h/high-income-n-high-income-adj/,
,higher,https://contentdesign.intuit.com/resources/word-list/h/higher/,
,highlight,https://contentdesign.intuit.com/resources/word-list/h/highlight/,
,"hmm; hmm…",https://contentdesign.intuit.com/resources/word-list/h/hmm-hmm/,
,"Hold tight",https://contentdesign.intuit.com/resources/word-list/h/hold-tight/,
,Home,https://contentdesign.intuit.com/resources/word-list/h/home/,
,homepage,https://contentdesign.intuit.com/resources/word-list/h/homepage/,
,"homeschool, homeschooling",https://contentdesign.intuit.com/resources/word-list/h/homeschool-homeschooling/,
,"How do customers find help articles?",https://contentdesign.intuit.com/content-patterns/help-articles/how-do-customers-find-help-articles/,
,"How mobile is different",https://contentdesign.intuit.com/channels/mobile/how-mobile-is-different/,
,"How we talk to the experts",https://contentdesign.intuit.com/channels/how-we-talk-in-the-expert-platform/,
,how-to,https://contentdesign.intuit.com/resources/word-list/h/how-to/,
,HRMC,https://contentdesign.intuit.com/resources/word-list/h/hrmc/,
,I,https://contentdesign.intuit.com/resources/word-list/i/,
,i.e.,https://contentdesign.intuit.com/resources/word-list/i/i-e/,
,ID,https://contentdesign.intuit.com/resources/word-list/i/id/,
,"ID numbers and sensitive data",https://contentdesign.intuit.com/style/numbers/id-numbers-and-sensitive-data/,
,identity,https://contentdesign.intuit.com/resources/word-list/i/identity/,
,IDP,https://contentdesign.intuit.com/resources/word-list/i/idp/,
,"image file",https://contentdesign.intuit.com/resources/word-list/i/image-file/,
,import,https://contentdesign.intuit.com/resources/word-list/i/import/,
,"in ascending order",https://contentdesign.intuit.com/resources/word-list/i/in-ascending-order/,
,"in order to",https://contentdesign.intuit.com/resources/word-list/i/in-order-to/,
,"in to",https://contentdesign.intuit.com/resources/word-list/i/in-to/,
,"in vs. on",https://contentdesign.intuit.com/resources/word-list/i/in-vs-on/,
,"in-product Help",https://contentdesign.intuit.com/resources/word-list/i/in-product-help/,
,inactive,https://contentdesign.intuit.com/resources/word-list/i/inactive/,
,"InclusivityBot FAQ",https://contentdesign.intuit.com/inclusivitybot-faq/,
,"independent contractor",https://contentdesign.intuit.com/resources/word-list/i/independent-contractor/,
,"Individual Taxpayer Identification Number (ITIN)",https://contentdesign.intuit.com/resources/word-list/i/individual-taxpayer-identification-number-itin/,
,"industry-leading technology",https://contentdesign.intuit.com/resources/word-list/i/industry-leading-technology/,
,"info links",https://contentdesign.intuit.com/resources/word-list/i/info-links/,
,"info, information",https://contentdesign.intuit.com/resources/word-list/i/info-information/,
,insight,https://contentdesign.intuit.com/resources/word-list/i/insight/,
,"intangible asset",https://contentdesign.intuit.com/resources/word-list/i/intangible-asset/,
,"Internal Revenue Service, IRS",https://contentdesign.intuit.com/resources/word-list/i/internal-revenue-service-irs/,
,internet,https://contentdesign.intuit.com/resources/word-list/i/internet/,
,intranet,https://contentdesign.intuit.com/resources/word-list/i/intranet/,
,"Intuit 1099 E-File Service",https://contentdesign.intuit.com/resources/word-list/i/intuit-1099-e-file-service/,
,"Intuit Account",https://contentdesign.intuit.com/resources/word-list/i/intuit-account/,
,"Intuit Company Profile",https://contentdesign.intuit.com/resources/word-list/i/intuit-company-profile/,
,"Intuit GoPayment, GoPayment",https://contentdesign.intuit.com/resources/word-list/i/intuit-gopayment-gopayment/,
,"Intuit Pay",https://contentdesign.intuit.com/resources/word-list/i/intuit-pay/,
,"Intuit PaymentNetwork, IPN",https://contentdesign.intuit.com/resources/word-list/i/intuit-paymentnetwork-ipn/,
,invalid,https://contentdesign.intuit.com/resources/word-list/i/invalid/,
